"name","genre","creative.type","production.method","revenue.inf"
"Spider-Man","Adventure","Super Hero","Live Action",581.587324
"Independence Day","Adventure","Science Fiction","Live Action",579.696466
"Shrek the Third","Adventure","Kids Fiction","Digital Animation",390.53393
"Harry Potter and the Prisoner of Azkaban","Adventure","Fantasy","Animation/Live Action",336.295292
"ET: The Extra-Terrestrial","Drama","Kids Fiction","Live Action",1124.651941
"Fast and Furious 6","Action","Contemporary Fiction","Live Action",245.725749
"2012","Action","Science Fiction","Live Action",185.233884
"Indiana Jones and the Kingdom of the Crystal Skull","Adventure","Historical Fiction","Live Action",369.656873
"Star Wars Ep. IV: A New Hope","Adventure","Science Fiction","Live Action",1362.751062
"Spider-Man 2","Adventure","Super Hero","Live Action",503.446042
"Guardians of the Galaxy","Adventure","Super Hero","Live Action",341.325235
"The Da Vinci Code","Thriller/Suspense","Contemporary Fiction","Live Action",277.981293
"Maleficent","Adventure","Fantasy","Live Action",247.316927
"The Amazing Spider-Man","Adventure","Super Hero","Live Action",275.527217
"Shrek Forever After","Adventure","Kids Fiction","Digital Animation",252.899165
"X-Men: Days of Future Past","Action","Science Fiction","Live Action",239.647881
"Madagascar 3: Europe's Most Wanted","Adventure","Kids Fiction","Digital Animation",227.53727
"Monsters University","Adventure","Kids Fiction","Digital Animation",276.414178
"The Matrix Reloaded","Action","Science Fiction","Animation/Live Action",390.813329
"Up","Adventure","Fantasy","Digital Animation",326.992648
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure","Fantasy","Animation/Live Action",379.064393
"Gravity","Thriller/Suspense","Contemporary Fiction","Live Action",282.090888
"Captain America: The Winter Soldier","Action","Science Fiction","Live Action",266.10551
"The Hunger Games: Mockingjay - Part 1","Thriller/Suspense","Science Fiction","Live Action",345.060842
"The Amazing Spider-Man 2","Action","Super Hero","Live Action",207.819751
"Transformers","Action","Science Fiction","Animation/Live Action",388.173113
"The Twilight Saga: Eclipse","Drama","Fantasy","Live Action",318.815049
"Dawn of the Planet of the Apes","Adventure","Science Fiction","Animation/Live Action",213.650737
"Mission: Impossible - Rogue Nation","Action","Contemporary Fiction","Live Action",194.829972
"Mission: Impossible - Ghost Protocol","Action","Contemporary Fiction","Live Action",220.710171
"The Twilight Saga: Breaking Dawn, Part 1","Drama","Fantasy","Live Action",296.871588
"The Twilight Saga: New Moon","Drama","Fantasy","Live Action",330.553757
"Forrest Gump","Drama","Historical Fiction","Live Action",672.783178
"The Hunger Games","Thriller/Suspense","Science Fiction","Live Action",429.026313
"The Sixth Sense","Thriller/Suspense","Fantasy","Live Action",481.962579
"Man of Steel","Action","Super Hero","Live Action",299.637262
"Interstellar","Adventure","Science Fiction","Live Action",192.49285
"Kung Fu Panda 2","Adventure","Kids Fiction","Digital Animation",174.417986
"Men in Black 3","Adventure","Science Fiction","Animation/Live Action",188.241777
"Big Hero 6","Adventure","Science Fiction","Digital Animation",227.698124
"Ice Age: The Meltdown","Adventure","Kids Fiction","Digital Animation",249.605696
"Star Wars Ep. II: Attack of the Clones","Adventure","Science Fiction","Animation/Live Action",435.328061
"Pirates of the Caribbean: The Curse of the Black Pearl","Adventure","Fantasy","Live Action",423.929016
"Thor: The Dark World","Adventure","Super Hero","Live Action",212.437145
"Kung Fu Panda","Adventure","Kids Fiction","Digital Animation",251.140327
"Fast Five","Action","Contemporary Fiction","Live Action",221.480621
"Ratatouille","Comedy","Kids Fiction","Digital Animation",251.155543
"Hancock","Action","Super Hero","Live Action",265.725671
"Iron Man 2","Adventure","Super Hero","Live Action",331.117141
"The Passion of the Christ","Drama","Dramatization","Live Action",499.717542
"The Lost World: Jurassic Park","Action","Science Fiction","Animation/Live Action",417.724134
"How to Train Your Dragon 2","Adventure","Fantasy","Digital Animation",181.335916
"The Incredibles","Adventure","Kids Fiction","Digital Animation",351.961078
"Life of Pi","Drama","Fantasy","Live Action",130.678374
"War of the Worlds","Action","Science Fiction","Animation/Live Action",305.912477
"Mamma Mia!","Musical","Contemporary Fiction","Live Action",168.017915
"Madagascar: Escape 2 Africa","Comedy","Kids Fiction","Digital Animation",209.879658
"Casino Royale","Action","Contemporary Fiction","Live Action",212.845325
"Quantum of Solace","Action","Contemporary Fiction","Live Action",197.312505
"Men in Black","Adventure","Science Fiction","Live Action",456.149959
"Tangled","Adventure","Kids Fiction","Digital Animation",212.862651
"The Hangover Part II","Comedy","Contemporary Fiction","Live Action",268.583382
"I am Legend","Horror","Science Fiction","Live Action",309.365018
"Iron Man","Action","Super Hero","Live Action",371.388836
"Night at the Museum","Comedy","Kids Fiction","Live Action",312.994434
"The Croods","Adventure","Kids Fiction","Digital Animation",192.693688
"Star Wars Ep. VI: Return of the Jedi","Adventure","Science Fiction","Live Action",778.214979
"Fifty Shades of Grey","Drama","Contemporary Fiction","Live Action",166.16723
"The Smurfs","Adventure","Kids Fiction","Animation/Live Action",150.527168
"Cars 2","Adventure","Kids Fiction","Digital Animation",202.073621
"Monsters, Inc.","Adventure","Kids Fiction","Digital Animation",412.902613
"The Day After Tomorrow","Adventure","Science Fiction","Live Action",251.692931
"Madagascar","Adventure","Kids Fiction","Digital Animation",252.231549
"Ted","Comedy","Contemporary Fiction","Animation/Live Action",229.928671
"Puss in Boots","Adventure","Kids Fiction","Digital Animation",157.527259
"Brave","Adventure","Kids Fiction","Digital Animation",249.503883
"Armageddon","Adventure","Science Fiction","Live Action",359.737586
"King Kong","Adventure","Fantasy","Animation/Live Action",283.511452
"Mission: Impossible 2","Action","Contemporary Fiction","Live Action",334.485246
"American Sniper","Drama","Dramatization","Live Action",350.180938
"Despicable Me","Comedy","Kids Fiction","Digital Animation",266.813545
"Sherlock Holmes: A Game of Shadows","Action","Historical Fiction","Live Action",196.993248
"Cinderella","Drama","Fantasy","Live Action",201.151353
"Star Wars Ep. V: The Empire Strikes Back","Adventure","Science Fiction","Live Action",808.182542
"WALL-E","Adventure","Science Fiction","Digital Animation",260.901655
"World War Z","Action","Science Fiction","Live Action",208.333426
"Godzilla","Action","Science Fiction","Live Action",205.584601
"The Simpsons Movie","Comedy","Contemporary Fiction","Digital Animation",222.796519
"Meet the Fockers","Comedy","Contemporary Fiction","Live Action",371.36139
"Terminator 2: Judgment Day","Action","Science Fiction","Animation/Live Action",401.320123
"Toy Story 2","Adventure","Kids Fiction","Digital Animation",401.516542
"Ghost","Drama","Fantasy","Live Action",408.867871
"Sherlock Holmes","Adventure","Historical Fiction","Live Action",229.397285
"Twister","Action","Contemporary Fiction","Live Action",457.676873
"Aladdin","Comedy","Fantasy","Hand Animation",421.129628
"How to Train Your Dragon","Adventure","Fantasy","Digital Animation",230.818109
"Rio 2","Adventure","Kids Fiction","Digital Animation",134.758465
"Clash of the Titans","Action","Fantasy","Live Action",173.144306
"Shrek","Adventure","Kids Fiction","Digital Animation",395.803423
"Angels & Demons","Thriller/Suspense","Contemporary Fiction","Live Action",148.847443
"Oz the Great and Powerful","Adventure","Fantasy","Animation/Live Action",241.701503
"Rio","Adventure","Kids Fiction","Digital Animation",151.588618
"Mr. and Mrs. Smith","Action","Contemporary Fiction","Live Action",243.31251
"Teenage Mutant Ninja Turtles","Adventure","Super Hero","Animation/Live Action",195.885403
"Saving Private Ryan","Drama","Historical Fiction","Live Action",382.169747
"Troy","Action","Historical Fiction","Live Action",179.663297
"Bruce Almighty","Comedy","Fantasy","Live Action",336.883711
"Rise of the Planet of the Apes","Adventure","Science Fiction","Animation/Live Action",186.567811
"Charlie and the Chocolate Factory","Comedy","Kids Fiction","Live Action",269.585078
"Wreck-It Ralph","Adventure","Kids Fiction","Digital Animation",198.928945
"Indiana Jones and the Last Crusade","Adventure","Fantasy","Live Action",410.539536
"Jaws","Horror","Contemporary Fiction","Live Action",1061.560973
"San Andreas","Adventure","Science Fiction","Live Action",155.190832
"Home Alone","Comedy","Contemporary Fiction","Live Action",550.995677
"Star Trek Into Darkness","Adventure","Science Fiction","Live Action",235.532269
"The Hangover","Comedy","Contemporary Fiction","Live Action",309.491916
"The Matrix","Action","Science Fiction","Live Action",282.377527
"Cars","Comedy","Kids Fiction","Digital Animation",311.865907
"X-Men: The Last Stand","Action","Super Hero","Live Action",299.483028
"The Lego Movie","Adventure","Kids Fiction","Digital Animation",264.095237
"Gladiator","Action","Historical Fiction","Live Action",291.350945
"Mission: Impossible","Action","Contemporary Fiction","Live Action",342.546996
"National Treasure 2: Book of Secrets","Adventure","Contemporary Fiction","Live Action",263.68355
"The Last Samurai","Action","Historical Fiction","Live Action",153.379455
"Ant-Man","Action","Super Hero","Live Action",178.753293
"300","Action","Historical Fiction","Animation/Live Action",256.200578
"Beauty and the Beast","Musical","Fantasy","Hand Animation",360.973735
"Ocean's Eleven","Thriller/Suspense","Contemporary Fiction","Live Action",269.448321
"Lucy","Action","Science Fiction","Live Action",129.672459
"Thor","Action","Super Hero","Live Action",191.075198
"Pearl Harbor","Action","Dramatization","Live Action",293.600458
"Tarzan","Adventure","Historical Fiction","Hand Animation",281.869317
"Alvin and the Chipmunks: The Squeakquel","Comedy","Kids Fiction","Animation/Live Action",241.57612
"Les Miserables","Musical","Historical Fiction","Live Action",155.478416
"The Bourne Ultimatum","Thriller/Suspense","Contemporary Fiction","Live Action",276.734431
"Men in Black 2","Action","Science Fiction","Animation/Live Action",274.321067
"Mrs. Doubtfire","Comedy","Contemporary Fiction","Live Action",445.006593
"Terminator: Genisys","Action","Science Fiction","Live Action",89.760956
"The Mummy Returns","Adventure","Fantasy","Live Action",298.728615
"Terminator 3: Rise of the Machines","Action","Science Fiction","Animation/Live Action",208.695044
"Die Another Day","Action","Contemporary Fiction","Live Action",231.270809
"The Kings Speech","Drama","Dramatization","Live Action",146.6214
"Pretty Woman","Romantic Comedy","Contemporary Fiction","Live Action",347.334519
"The Matrix Revolutions","Action","Science Fiction","Live Action",193.262019
"Cast Away","Drama","Contemporary Fiction","Live Action",353.617894
"Les Intouchables","Comedy","Contemporary Fiction","Live Action",13.860795
"Django Unchained","Western","Historical Fiction","Live Action",169.948297
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Adventure","Fantasy","Animation/Live Action",110.644051
"The Chronicles of Narnia: Prince Caspian","Adventure","Fantasy","Animation/Live Action",165.09358
"The Wolverine","Action","Super Hero","Live Action",136.469962
"The Mummy","Adventure","Fantasy","Live Action",255.79218
"Dances with Wolves","Western","Historical Fiction","Live Action",348.215988
"Sex and the City","Comedy","Contemporary Fiction","Live Action",177.946736
"Pacific Rim","Action","Science Fiction","Live Action",104.808152
"Batman","Action","Super Hero","Live Action",522.281237
"Signs","Thriller/Suspense","Science Fiction","Live Action",328.389216
"Rain Man","Comedy","Contemporary Fiction","Live Action",350.043678
"X2","Action","Super Hero","Live Action",298.361741
"The Mummy: Tomb of the Dragon Emperor","Adventure","Fantasy","Live Action",119.478578
"Kingsman: The Secret Service","Action","Contemporary Fiction","Live Action",128.261724
"The Exorcist","Horror","Fantasy","Live Action",968.782587
"Twilight","Drama","Fantasy","Live Action",223.930972
"Night at the Museum: Battle of the Smithsonian","Comedy","Fantasy","Live Action",197.803992
"Snow White and the Huntsman","Adventure","Fantasy","Live Action",163.127467
"The Bodyguard","Thriller/Suspense","Contemporary Fiction","Live Action",225.265576
"Prometheus","Adventure","Science Fiction","Live Action",132.9916
"Tron: Legacy","Adventure","Science Fiction","Live Action",182.31236
"Mission: Impossible III","Action","Contemporary Fiction","Live Action",170.596377
"The Wolf of Wall Street","Black Comedy","Dramatization","Live Action",120.080582
"Gone with the Wind","Drama","Historical Fiction","Live Action",2033.987841
"Robin Hood: Prince of Thieves","Adventure","Historical Fiction","Live Action",328.756316
"Raiders of the Lost Ark","Adventure","Historical Fiction","Live Action",703.351941
"Grease","Musical","Historical Fiction","Live Action",598.645451
"Ice Age","Adventure","Kids Fiction","Digital Animation",254.107157
"Home","Adventure","Kids Fiction","Digital Animation",177.39751
"Star Trek","Adventure","Science Fiction","Live Action",287.626705
"Happy Feet","Adventure","Kids Fiction","Digital Animation",251.811299
"Monster Hunt","Adventure","Fantasy","Live Action",0
"Slumdog Millionaire","Drama","Contemporary Fiction","Live Action",159.151382
"Live Free or Die Hard","Action","Contemporary Fiction","Live Action",163.664402
"Monsters vs. Aliens","Adventure","Kids Fiction","Digital Animation",221.360302
"Taken 2","Thriller/Suspense","Contemporary Fiction","Live Action",147.045307
"Godzilla","Action","Science Fiction","Live Action",242.965582
"My Big Fat Greek Wedding","Romantic Comedy","Contemporary Fiction","Live Action",346.825062
"X-Men Origins: Wolverine","Action","Super Hero","Live Action",200.749604
"What Women Want","Romantic Comedy","Contemporary Fiction","Live Action",278.907258
"Superman Returns","Adventure","Super Hero","Live Action",255.725865
"The Adventures of Tintin","Adventure","Contemporary Fiction","Digital Animation",81.777244
"Back to the Future","Adventure","Science Fiction","Live Action",470.824879
"Mad Max: Fury Road","Action","Science Fiction","Live Action",153.636354
"G.I. Joe: Retaliation","Action","Contemporary Fiction","Animation/Live Action",126.139976
"Shark Tale","Adventure","Kids Fiction","Digital Animation",217.527972
"Captain America: The First Avenger","Action","Super Hero","Live Action",186.456264
"Gone Girl","Thriller/Suspense","Contemporary Fiction","Live Action",171.848622
"Penguins of Madagascar","Comedy","Kids Fiction","Digital Animation",85.26319
"The Golden Compass","Adventure","Fantasy","Live Action",84.714904
"Hitch","Romantic Comedy","Contemporary Fiction","Live Action",231.872687
"Die Hard: With a Vengeance","Action","Contemporary Fiction","Live Action",192.301738
"Jurassic Park III","Action","Science Fiction","Animation/Live Action",267.908199
"Terminator Salvation","Action","Science Fiction","Live Action",139.859879
"True Lies","Action","Contemporary Fiction","Live Action",300.076703
"Edge of Tomorrow","Action","Science Fiction","Live Action",102.65928
"Toy Story","Adventure","Kids Fiction","Digital Animation",367.497539
"Notting Hill","Romantic Comedy","Contemporary Fiction","Live Action",191.273743
"A Bug's Life","Adventure","Fantasy","Digital Animation",286.914326
"Fast & Furious","Action","Contemporary Fiction","Live Action",173.051717
"Ocean's Twelve","Adventure","Contemporary Fiction","Live Action",168.41575
"Alvin and the Chipmunks","Comedy","Kids Fiction","Animation/Live Action",261.155735
"Planet of the Apes","Adventure","Science Fiction","Live Action",266.192064
"The Hangover 3","Comedy","Contemporary Fiction","Live Action",115.512244
"The World is Not Enough","Action","Contemporary Fiction","Live Action",208.277816
"There's Something About Mary","Romantic Comedy","Contemporary Fiction","Live Action",314.718629
"Batman Begins","Action","Super Hero","Live Action",268.132197
"Minority Report","Action","Science Fiction","Live Action",190.182119
"Top Gun","Action","Contemporary Fiction","Live Action",391.729576
"Night at the Museum: Secret of the Tomb","Adventure","Fantasy","Live Action",115.946053
"American Beauty","Drama","Contemporary Fiction","Live Action",208.69378
"Dinosaur","Adventure","Kids Fiction","Digital Animation",213.90562
"Goldeneye","Action","Contemporary Fiction","Live Action",203.528946
"Catch Me if You Can","Drama","Dramatization","Live Action",232.250408
"Home Alone 2: Lost in New York","Comedy","Contemporary Fiction","Live Action",342.993686
"X-Men: First Class","Action","Super Hero","Live Action",154.531836
"The Flintstones","Comedy","Historical Fiction","Live Action",257.230975
"Noah","Drama","Historical Fiction","Live Action",103.677399
"The Karate Kid","Adventure","Contemporary Fiction","Live Action",187.334829
"Now You See Me","Thriller/Suspense","Contemporary Fiction","Live Action",121.199232
"The Mask","Comedy","Fantasy","Live Action",245.784087
"The Great Gatsby","Drama","Historical Fiction","Live Action",149.116145
"Doctor Seuss' The Lorax","Adventure","Kids Fiction","Digital Animation",225.054678
"Basic Instinct","Thriller/Suspense","Contemporary Fiction","Live Action",233.717017
"Hannibal","Horror","Contemporary Fiction","Live Action",244.137792
"Who Framed Roger Rabbit?","Comedy","Fantasy","Animation/Live Action",309.556875
"Deep Impact","Adventure","Science Fiction","Live Action",250.386901
"Alvin and the Chipmunks: Chipwrecked","Comedy","Kids Fiction","Animation/Live Action",140.33229
"I, Robot","Action","Science Fiction","Animation/Live Action",195.158946
"The Smurfs 2","Adventure","Kids Fiction","Animation/Live Action",73.114243
"Rush Hour 2","Action","Contemporary Fiction","Live Action",334.413222
"Pocahontas","Adventure","Historical Fiction","Hand Animation",272.39487
"Hotel Transylvania","Comedy","Kids Fiction","Digital Animation",155.905211
"The Maze Runner","Thriller/Suspense","Science Fiction","Live Action",104.930723
"How the Grinch Stole Christmas","Comedy","Kids Fiction","Live Action",403.302256
"The Fugitive","Thriller/Suspense","Contemporary Fiction","Live Action",348.738594
"Wanted","Action","Science Fiction","Live Action",156.801747
"Enchanted","Romantic Comedy","Fantasy","Animation/Live Action",154.663162
"Tomorrow Never Dies","Action","Contemporary Fiction","Live Action",227.172463
"Close Encounters of the Third Kind","Adventure","Science Fiction","Live Action",623.058297
"Batman Forever","Action","Super Hero","Live Action",354.037349
"Over the Hedge","Comedy","Kids Fiction","Digital Animation",198.093418
"The Rock","Action","Contemporary Fiction","Live Action",253.66769
"Apollo 13","Drama","Dramatization","Live Action",331.02169
"22 Jump Street","Comedy","Contemporary Fiction","Live Action",196.412588
"National Treasure","Adventure","Contemporary Fiction","Live Action",232.403387
"Black Swan","Thriller/Suspense","Contemporary Fiction","Live Action",113.144923
"300: Rise of an Empire","Action","Historical Fiction","Animation/Live Action",109.189102
"Fantastic Four","Action","Super Hero","Live Action",201.997177
"The Curious Case of Benjamin Button","Drama","Fantasy","Live Action",146.244499
"The Perfect Storm","Drama","Dramatization","Live Action",283.583727
"Indiana Jones and the Temple of Doom","Adventure","Historical Fiction","Live Action",436.145567
"Se7en","Thriller/Suspense","Contemporary Fiction","Live Action",192.128906
"Bolt","Comedy","Kids Fiction","Digital Animation",132.751071
"Taken 3","Action","Contemporary Fiction","Live Action",89.256424
"The Devil Wears Prada","Comedy","Contemporary Fiction","Live Action",159.401168
"The Hunchback of Notre Dame","Adventure","Historical Fiction","Hand Animation",189.569996
"Back to the Future Part II","Adventure","Science Fiction","Live Action",227.22614
"Robin Hood","Action","Historical Fiction","Live Action",111.673971
"Megamind","Adventure","Kids Fiction","Digital Animation",157.422341
"Crocodile Dundee","Comedy","Contemporary Fiction","Live Action",374.104616
"Schindler's List","Drama","Dramatization","Live Action",195.720581
"The Last Airbender","Adventure","Fantasy","Live Action",139.607206
"The Polar Express","Adventure","Kids Fiction","Digital Animation",262.409209
"The Martian","Thriller/Suspense","Science Fiction","Live Action",143.595778
"Journey 2: The Mysterious Island","Adventure","Fantasy","Live Action",109.209877
"The Conjuring","Horror","Fantasy","Live Action",141.456231
"A Beautiful Mind","Drama","Dramatization","Live Action",246.635316
"Inglourious Basterds","Action","Historical Fiction","Live Action",134.784445
"Disney's A Christmas Carol","Drama","Fantasy","Digital Animation",153.824421
"Air Force One","Action","Contemporary Fiction","Live Action",314.760454
"Lethal Weapon 3","Action","Contemporary Fiction","Live Action",281.95716
"The Proposal","Romantic Comedy","Contemporary Fiction","Live Action",182.977164
"Prince of Persia: Sands of Time","Action","Fantasy","Live Action",96.281173
"As Good as it Gets","Romantic Comedy","Contemporary Fiction","Live Action",265.064299
"The Expendables 2","Action","Contemporary Fiction","Live Action",89.407779
"Fatal Attraction","Thriller/Suspense","Contemporary Fiction","Live Action",315.801155
"Ocean's Thirteen","Adventure","Contemporary Fiction","Live Action",142.514416
"The SpongeBob Movie: Sponge Out of Water","Comedy","Kids Fiction","Animation/Live Action",162.994032
"Beverly Hills Cop","Action","Contemporary Fiction","Live Action",553.283943
"Little Fockers","Comedy","Contemporary Fiction","Live Action",157.22367
"Austin Powers: The Spy Who Shagged Me","Comedy","Dramatization","Live Action",339.343847
"Chicken Little","Adventure","Kids Fiction","Digital Animation",176.690432
"Runaway Bride","Romantic Comedy","Contemporary Fiction","Live Action",250.678395
"Ransom","Action","Contemporary Fiction","Live Action",257.560292
"Chicago","Musical","Historical Fiction","Live Action",237.024908
"The Pursuit of Happyness","Drama","Dramatization","Live Action",204.202999
"Rise of the Guardians","Adventure","Kids Fiction","Digital Animation",108.603294
"The Blind Side","Drama","Dramatization","Live Action",283.031416
"Wrath of the Titans","Adventure","Fantasy","Animation/Live Action",87.979715
"Battleship","Action","Contemporary Fiction","Live Action",68.593406
"Meet the Parents","Comedy","Contemporary Fiction","Live Action",257.763884
"A Good Day to Die Hard","Action","Contemporary Fiction","Live Action",69.337365
"101 Dalmatians","Comedy","Kids Fiction","Live Action",255.634121
"The Fault in Our Stars","Drama","Contemporary Fiction","Live Action",127.929198
"Mulan","Adventure","Dramatization","Hand Animation",215.261418
"Liar Liar","Comedy","Contemporary Fiction","Live Action",330.779814
"G.I. Joe: The Rise of Cobra","Action","Contemporary Fiction","Animation/Live Action",167.624868
"Rambo: First Blood Part II","Action","Contemporary Fiction","Live Action",354.641453
"Superman","Adventure","Super Hero","Live Action",457.486263
"Van Helsing","Action","Historical Fiction","Live Action",161.94204
"Horton Hears a Who","Adventure","Fantasy","Digital Animation",180.140864
"Shutter Island","Thriller/Suspense","Historical Fiction","Live Action",135.800789
"My Best Friend's Wedding","Comedy","Contemporary Fiction","Live Action",231.23142
"Stuart Little","Comedy","Kids Fiction","Live Action",224.950647
"Rocky IV","Drama","Contemporary Fiction","Live Action",288.428133
"X-Men","Action","Super Hero","Live Action",244.266908
"Resident Evil: Afterlife","Horror","Science Fiction","Live Action",63.786573
"Insurgent","Action","Science Fiction","Live Action",130.179072
"Ghostbusters","Comedy","Fantasy","Live Action",572.046604
"Sex and the City 2","Comedy","Contemporary Fiction","Live Action",101.148311
"Doctor Dolittle","Comedy","Kids Fiction","Live Action",257.268389
"G-Force","Adventure","Kids Fiction","Animation/Live Action",133.291438
"Austin Powers in Goldmember","Comedy","Contemporary Fiction","Live Action",306.966025
"Look Who's Talking","Comedy","Contemporary Fiction","Live Action",280.604694
"Hook","Adventure","Kids Fiction","Live Action",220.049811
"The Green Mile","Drama","Fantasy","Live Action",219.702079
"Salt","Thriller/Suspense","Contemporary Fiction","Live Action",125.509012
"The Departed","Drama","Contemporary Fiction","Live Action",168.431929
"Bridesmaids","Comedy","Contemporary Fiction","Live Action",178.489689
"What Lies Beneath","Thriller/Suspense","Contemporary Fiction","Live Action",241.270858
"The Bourne Supremacy","Thriller/Suspense","Contemporary Fiction","Live Action",237.283608
"Fantastic Four: Rise of the Silver Surfer","Action","Super Hero","Live Action",160.490289
"Oblivion","Thriller/Suspense","Science Fiction","Live Action",91.737703
"Bee Movie","Comedy","Kids Fiction","Digital Animation",153.94838
"Turbo","Adventure","Kids Fiction","Digital Animation",85.479144
"American Pie 2","Comedy","Contemporary Fiction","Live Action",214.568976
"The Sound of Music","Musical","Historical Fiction","Live Action",1352.577796
"Elysium","Action","Science Fiction","Live Action",95.796977
"Pitch Perfect 2","Comedy","Contemporary Fiction","Live Action",183.785415
"Lethal Weapon 4","Action","Contemporary Fiction","Live Action",231.530982
"The Wedding Crashers","Comedy","Contemporary Fiction","Live Action",273.191535
"John Carter","Adventure","Science Fiction","Live Action",76.821752
"Saturday Night Fever","Drama","Contemporary Fiction","Live Action",185.135335
"Speed","Action","Contemporary Fiction","Live Action",246.916682
"Casper","Comedy","Fantasy","Live Action",192.870538
"Bridget Jones's Diary","Romantic Comedy","Contemporary Fiction","Live Action",105.734921
"Coming to America","Comedy","Contemporary Fiction","Live Action",245.997204
"The Bourne Legacy","Thriller/Suspense","Contemporary Fiction","Live Action",119.034717
"Shakespeare in Love","Romantic Comedy","Historical Fiction","Live Action",166.450934
"The Tourist","Thriller/Suspense","Contemporary Fiction","Live Action",71.676035
"Scary Movie","Comedy","Contemporary Fiction","Live Action",243.796957
"Scooby-Doo","Comedy","Kids Fiction","Live Action",220.829962
"Divergent","Adventure","Science Fiction","Live Action",154.643065
"Beverly Hills Cop II","Action","Contemporary Fiction","Live Action",327.378103
"Sen to Chihiro no Kamikakushi","Adventure","Fantasy","Hand Animation",14.227594
"Gran Torino","Drama","Contemporary Fiction","Live Action",165.762811
"High School Musical 3: Senior Year","Musical","Contemporary Fiction","Live Action",105.551894
"Cloudy with a Chance of Meatballs 2","Adventure","Kids Fiction","Digital Animation",123.31891
"The Nutty Professor","Comedy","Kids Fiction","Live Action",243.846022
"Jerry Maguire","Romantic Comedy","Contemporary Fiction","Live Action",284.364858
"Lincoln","Drama","Dramatization","Live Action",190.754911
